version,payload,msgs,value,unit
zf-python-new,8000000,60,22551603,ns
zf-python-new,8000000,60,8094970,ns
zf-python-new,8000000,60,35703589,ns
zf-python-new,8000000,60,39987359,ns
zf-python-new,8000000,60,20241017,ns
zf-python-new,8000000,60,7602013,ns
zf-python-new,8000000,60,31391832,ns
zf-python-new,8000000,60,43322755,ns
zf-python-new,8000000,60,20955195,ns
zf-python-new,8000000,60,7763261,ns
zf-python-new,8000000,60,25475207,ns
zf-python-new,8000000,60,17664400,ns
zf-python-new,8000000,60,15658563,ns
zf-python-new,8000000,60,6748963,ns
zf-python-new,8000000,60,20554414,ns
zf-python-new,8000000,60,34516477,ns
zf-python-new,8000000,60,20476779,ns
zf-python-new,8000000,60,7668614,ns
zf-python-new,8000000,60,35693586,ns
zf-python-new,8000000,60,40158842,ns
zf-python-new,8000000,60,20449576,ns
zf-python-new,8000000,60,21204200,ns
zf-python-new,8000000,60,7527189,ns
zf-python-new,8000000,60,21444294,ns
zf-python-new,8000000,60,23388272,ns
zf-python-new,8000000,60,24106215,ns
zf-python-new,8000000,60,8720369,ns
zf-python-new,8000000,60,41471711,ns
zf-python-new,8000000,60,27245664,ns
zf-python-new,8000000,60,28006328,ns
zf-python-new,8000000,60,9996921,ns
zf-python-new,8000000,60,37949016,ns
zf-python-new,8000000,60,18099654,ns
zf-python-new,8000000,60,14999252,ns
zf-python-new,8000000,60,6679108,ns
zf-python-new,8000000,60,27178862,ns
zf-python-new,8000000,60,27590478,ns
zf-python-new,8000000,60,27623377,ns
zf-python-new,8000000,60,9884899,ns
zf-python-new,8000000,60,40645628,ns
zf-python-new,8000000,60,16418513,ns
zf-python-new,8000000,60,16532374,ns
zf-python-new,8000000,60,7137486,ns
zf-python-new,8000000,60,31786219,ns
zf-python-new,8000000,60,26184960,ns
zf-python-new,8000000,60,26522888,ns
zf-python-new,8000000,60,9592209,ns
zf-python-new,8000000,60,19967887,ns
zf-python-new,8000000,60,17425649,ns
zf-python-new,8000000,60,20426600,ns
zf-python-new,8000000,60,8179201,ns
zf-python-new,8000000,60,38108902,ns
zf-python-new,8000000,60,25735357,ns
zf-python-new,8000000,60,26701613,ns
zf-python-new,8000000,60,9601562,ns
zf-python-new,8000000,60,43074393,ns
zf-python-new,8000000,60,21177260,ns
zf-python-new,8000000,60,22082864,ns
zf-python-new,8000000,60,8451032,ns
zf-python-new,8000000,60,19728708,ns
zf-python-new,8000000,60,16898276,ns
zf-python-new,8000000,60,18518533,ns
zf-python-new,8000000,60,7695592,ns
zf-python-new,8000000,60,37673143,ns
zf-python-new,8000000,60,21477767,ns
zf-python-new,8000000,60,24059064,ns
zf-python-new,8000000,60,9228447,ns
zf-python-new,8000000,60,41206882,ns
zf-python-new,8000000,60,8225660,ns
zf-python-new,8000000,60,16052964,ns
zf-python-new,8000000,60,17946005,ns
zf-python-new,8000000,60,27538637,ns
zf-python-new,8000000,60,9232790,ns
zf-python-new,8000000,60,34879356,ns
zf-python-new,8000000,60,23606811,ns
zf-python-new,8000000,60,39773548,ns
zf-python-new,8000000,60,7961165,ns
zf-python-new,8000000,60,22757314,ns
zf-python-new,8000000,60,33956135,ns
zf-python-new,8000000,60,33627898,ns
zf-python-new,8000000,60,8913483,ns
zf-python-new,8000000,60,33556354,ns
zf-python-new,8000000,60,17699470,ns
zf-python-new,8000000,60,18816868,ns
zf-python-new,8000000,60,7262020,ns
zf-python-new,8000000,60,24858293,ns
zf-python-new,8000000,60,36032523,ns
zf-python-new,8000000,60,35619923,ns
zf-python-new,8000000,60,9238196,ns
zf-python-new,8000000,60,30587075,ns
zf-python-new,8000000,60,29751311,ns
zf-python-new,8000000,60,31104672,ns
zf-python-new,8000000,60,8380350,ns
zf-python-new,8000000,60,25765808,ns
zf-python-new,8000000,60,36228200,ns
zf-python-new,8000000,60,35507650,ns
zf-python-new,8000000,60,7863535,ns
zf-python-new,8000000,60,28532975,ns
zf-python-new,8000000,60,30855525,ns
zf-python-new,8000000,60,37809996,ns
zf-python-new,8000000,60,8091606,ns
zf-python-new,8000000,60,31045996,ns
zf-python-new,8000000,60,32844102,ns
zf-python-new,8000000,60,19373555,ns
zf-python-new,8000000,60,6916592,ns
zf-python-new,8000000,60,23993443,ns
zf-python-new,8000000,60,28092771,ns
zf-python-new,8000000,60,36132512,ns
zf-python-new,8000000,60,8829872,ns
zf-python-new,8000000,60,36333360,ns
zf-python-new,8000000,60,24549474,ns
zf-python-new,8000000,60,31024987,ns
zf-python-new,8000000,60,8334676,ns
zf-python-new,8000000,60,35976043,ns
zf-python-new,8000000,60,30936215,ns
zf-python-new,8000000,60,38109729,ns
zf-python-new,8000000,60,7927110,ns
zf-python-new,8000000,60,18466444,ns
zf-python-new,8000000,60,21958017,ns
zf-python-new,8000000,60,28253956,ns
